Item,Factor,Pre_Reverse_Loading,Post_Reverse_Loading,Loading_Change,Abs_Loading_Change,Sign_Changed,Pre_Acceptable,Post_Acceptable,Improvement
q41,nutrition_knowledge,-0.2077,0.2077,0.4154,0.4154,True,False,False,False
q17,perceived_benefit,0.7871,0.7871,0.0,0.0,False,True,True,False
q12,perceived_benefit,1.0,1.0,0.0,0.0,False,True,True,False
q15,perceived_benefit,0.7992,0.7992,0.0,0.0,False,True,True,False
q11,health_concern,0.8738,0.8738,0.0,0.0,False,True,True,False
q43,nutrition_knowledge,0.8169,0.8169,0.0,0.0,False,True,True,False
q36,nutrition_knowledge,0.7449,0.7449,0.0,0.0,False,True,True,False
q9,health_concern,0.7948,0.7948,0.0,0.0,False,True,True,False
q28,perceived_price,-0.5286,0.5286,1.0572,1.0572,True,True,True,False
q40,nutrition_knowledge,0.2466,-0.2466,-0.4932,0.4932,True,False,False,False
q8,health_concern,0.7321,0.7321,0.0,0.0,False,True,True,False
q7,health_concern,0.9196,0.9196,0.0,0.0,False,True,True,False
q38,nutrition_knowledge,0.9173,0.9173,0.0,0.0,False,True,True,False
q35,nutrition_knowledge,0.762,0.762,0.0,0.0,False,True,True,False
q37,nutrition_knowledge,0.0938,-0.0938,-0.1876,0.1876,True,False,False,False
q44,nutrition_knowledge,0.874,0.874,0.0,0.0,False,True,True,False
q29,perceived_price,0.8456,0.8456,0.0,0.0,False,True,True,False
q16,perceived_benefit,0.638,0.638,0.0,0.0,False,True,True,False
q10,health_concern,0.7222,0.7222,0.0,0.0,False,True,True,False
q14,perceived_benefit,0.9053,0.9053,0.0,0.0,False,True,True,False
q48,nutrition_knowledge,0.5187,0.5187,0.0,0.0,False,True,True,False
q19,purchase_intention,1.0667,1.0667,0.0,0.0,False,True,True,False
q31,nutrition_knowledge,0.4658,0.4658,0.0,0.0,False,False,False,False
q20,purchase_intention,1.0086,1.0086,0.0,0.0,False,True,True,False
q49,nutrition_knowledge,0.5238,0.5238,0.0,0.0,False,True,True,False
q42,nutrition_knowledge,0.8514,0.8514,0.0,0.0,False,True,True,False
q47,nutrition_knowledge,0.7764,-0.7764,-1.5528,1.5528,True,True,True,False
q46,nutrition_knowledge,0.771,0.771,0.0,0.0,False,True,True,False
q39,nutrition_knowledge,0.8586,0.8586,0.0,0.0,False,True,True,False
q18,purchase_intention,1.0,1.0,0.0,0.0,False,True,True,False
q33,nutrition_knowledge,0.4137,-0.4137,-0.8274,0.8274,True,False,False,False
q30,nutrition_knowledge,1.0,1.0,0.0,0.0,False,True,True,False
q34,nutrition_knowledge,0.8605,0.8605,0.0,0.0,False,True,True,False
q13,perceived_benefit,-0.4058,0.4058,0.8116,0.8116,True,False,False,False
q27,perceived_price,1.0,1.0,0.0,0.0,False,True,True,False
q6,health_concern,1.0,1.0,0.0,0.0,False,True,True,False
q32,nutrition_knowledge,0.681,0.681,0.0,0.0,False,True,True,False
q45,nutrition_knowledge,0.9637,0.9637,0.0,0.0,False,True,True,False
