choice_set,alternative,alternative_name,product_type,sugar_content,health_label,price
1,1,제품 A,무설탕,무설탕,1.0,2500.0
1,2,제품 B,알반당,알반당,0.0,2000.0
1,3,구매안함,,,,
2,1,제품 A,알반당,알반당,0.0,3000.0
2,2,제품 B,무설탕,무설탕,1.0,2500.0
2,3,구매안함,,,,
3,1,제품 A,무설탕,무설탕,0.0,2000.0
3,2,제품 B,무설탕,무설탕,1.0,3000.0
3,3,구매안함,,,,
4,1,제품 A,알반당,알반당,1.0,2000.0
4,2,제품 B,알반당,알반당,0.0,2500.0
4,3,구매안함,,,,
5,1,제품 A,무설탕,무설탕,0.0,2500.0
5,2,제품 B,알반당,알반당,1.0,3000.0
5,3,구매안함,,,,
6,1,제품 A,알반당,알반당,1.0,3000.0
6,2,제품 B,무설탕,무설탕,0.0,2000.0
6,3,구매안함,,,,
