no,q27,q28,q29
1,4,4,4
3,4,3,4
5,3,3,2
6,4,4,4
8,4,3,3
10,4,3,4
11,2,3,4
12,3,3,2
13,3,4,3
14,3,4,3
15,4,4,4
16,4,5,4
17,3,3,3
18,4,4,4
19,4,4,4
20,4,5,5
21,4,4,4
23,4,3,4
24,4,4,4
27,4,2,4
28,4,4,4
29,4,4,4
30,3,3,3
31,4,3,4
32,4,4,4
33,4,4,4
34,2,2,2
35,4,4,4
36,4,3,4
37,2,4,3
38,4,4,4
40,4,3,4
41,4,4,4
42,4,3,3
43,4,3,3
44,4,4,4
46,4,4,4
47,4,4,4
48,3,3,3
49,4,4,4
50,4,4,4
51,3,3,2
52,4,4,4
53,4,4,4
54,5,4,4
55,4,4,4
56,4,4,4
57,4,4,4
58,4,3,3
59,4,4,4
60,4,4,3
61,4,3,4
62,3,4,3
64,4,4,4
65,5,5,5
66,4,4,5
67,4,4,3
69,4,4,4
70,2,3,4
71,4,4,4
72,3,4,2
73,4,4,3
74,4,4,4
75,3,3,4
76,5,5,5
77,4,4,4
78,4,4,4
79,4,4,4
80,4,4,4
81,4,4,4
82,5,4,4
84,4,4,4
85,3,4,3
86,4,4,4
88,5,4,5
89,4,4,4
90,4,3,4
91,4,4,3
92,4,4,4
93,3,3,3
94,1,4,4
95,4,3,5
96,3,3,4
97,3,2,3
98,4,2,4
99,4,4,4
100,4,4,4
101,3,3,3
102,3,3,3
103,4,4,4
104,3,3,4
105,5,4,5
108,3,3,3
109,4,4,4
110,4,4,4
111,3,3,3
112,4,3,3
113,5,5,5
114,4,4,4
115,3,3,3
116,4,3,3
117,3,3,4
119,5,5,5
120,3,2,3
121,3,3,3
123,3,3,2
124,3,3,4
125,5,5,5
126,2,3,3
128,4,4,4
129,2,3,3
130,3,3,3
131,4,3,4
133,5,2,4
134,4,4,3
135,4,4,3
136,2,2,1
137,3,3,4
138,4,3,4
139,4,4,4
140,3,3,2
141,5,5,5
142,4,4,4
143,4,4,4
144,5,5,5
145,4,4,4
146,4,4,4
147,4,5,4
148,4,4,4
149,4,4,4
150,2,3,2
151,5,4,5
153,4,4,4
154,4,4,3
155,3,3,2
157,3,4,3
158,4,4,5
159,4,4,4
160,5,5,5
161,3,3,2
162,3,4,4
163,3,4,4
164,3,3,2
165,4,4,3
166,4,3,4
167,4,4,4
168,3,3,3
169,4,4,4
170,4,4,4
171,4,3,3
172,4,4,3
174,4,4,3
175,3,3,3
177,4,4,4
179,4,4,3
180,2,4,2
181,3,3,3
182,3,3,3
183,5,1,5
184,3,5,2
185,4,3,3
187,4,4,4
188,2,3,2
189,3,4,4
190,4,4,4
191,4,4,4
192,4,4,4
193,3,3,2
194,4,4,4
195,4,3,4
196,3,3,3
198,2,2,2
199,4,3,4
200,5,5,5
201,3,3,3
202,2,3,2
203,3,3,3
204,3,3,3
205,5,5,5
206,3,3,3
207,3,3,2
208,4,3,4
209,4,4,4
210,4,4,4
211,3,3,3
212,4,4,4
213,4,4,3
215,3,3,3
217,4,3,4
218,4,4,4
219,3,3,3
220,4,4,3
222,3,3,2
223,3,2,3
224,4,5,4
225,4,3,4
227,5,5,5
228,4,4,4
229,4,4,4
230,4,3,3
231,3,3,3
232,5,5,5
233,2,3,2
234,3,3,3
235,4,4,4
236,4,2,5
237,4,4,4
238,4,4,4
239,4,4,4
241,4,4,4
242,3,4,3
243,4,4,4
245,4,3,3
246,4,4,4
247,4,4,4
248,4,4,4
249,4,4,4
250,4,3,4
251,4,4,4
252,3,3,3
253,3,4,3
254,4,5,4
256,4,4,4
257,3,3,3
258,4,4,3
260,4,1,4
261,5,2,4
262,4,4,4
263,4,4,3
264,3,3,3
265,4,4,4
266,4,4,4
268,4,3,4
269,4,4,3
270,4,4,4
271,3,3,4
272,4,4,3
273,3,3,3
273,4,5,4
274,3,4,2
275,5,4,5
276,4,4,4
277,3,3,3
278,3,4,3
279,4,4,4
280,3,1,2
282,4,4,3
284,3,4,3
286,4,3,4
287,3,3,4
288,4,4,4
290,2,4,2
292,4,4,4
293,3,3,3
294,3,2,4
295,3,3,4
296,3,3,4
297,3,3,3
298,4,4,4
299,4,3,4
300,4,4,4
301,2,2,3
302,4,2,4
303,5,5,5
304,2,2,2
305,4,4,4
306,4,4,4
307,4,4,4
309,4,4,4
310,4,5,4
311,3,3,3
312,4,4,4
313,4,1,5
314,4,4,4
315,3,2,2
316,3,3,3
318,3,3,2
322,3,3,3
323,4,4,4
330,4,3,4
333,4,4,4
335,3,3,3
336,4,5,4
343,5,4,4
346,4,3,4
347,4,2,3
348,3,4,3
349,3,4,3
351,4,3,4
352,3,3,2
353,5,5,5
357,3,3,2
359,4,3,4
377,2,3,2
385,4,3,3
394,4,4,4
395,4,4,4
397,4,3,4
400,4,4,4
402,4,3,3
