Factor,Item,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
health_concern,q6,0.8903,-,-,,False,multiple_factors,300
health_concern,q7,0.8901,0.03613613723329886,25.447704938349723,0.0,True,multiple_factors,300
health_concern,q8,0.7924,0.03802812950516604,19.252800776196654,0.0,True,multiple_factors,300
health_concern,q9,0.8681,0.033421841233608265,23.782070814805493,0.0,True,multiple_factors,300
health_concern,q10,0.8039,0.03639428735381954,19.843327984134522,0.0,True,multiple_factors,300
health_concern,q11,0.8726,0.03624830306487228,24.104889956623033,0.0,True,multiple_factors,300
perceived_benefit,q12,0.8999,-,-,,False,multiple_factors,300
perceived_benefit,q13,0.4531,0.048207416809696375,8.417624997888709,0.0,True,multiple_factors,300
perceived_benefit,q14,0.8757,0.03518036390170937,25.733761285513886,0.0,True,multiple_factors,300
perceived_benefit,q15,0.8052,0.03870884647874955,20.64599386933639,0.0,True,multiple_factors,300
perceived_benefit,q16,0.6355,0.04792994690289203,13.311075051106085,0.0,True,multiple_factors,300
perceived_benefit,q17,0.7258,0.047228529069351974,16.665855947196594,0.0,True,multiple_factors,300
purchase_intention,q18,0.9446,-,-,,False,multiple_factors,300
purchase_intention,q19,0.937,0.030376650730843755,35.114148075823934,0.0,True,multiple_factors,300
purchase_intention,q20,0.9221,0.030812144936448817,32.732292962300065,0.0,True,multiple_factors,300
perceived_price,q27,0.9799,-,-,,False,multiple_factors,300
perceived_price,q28,0.6178,0.042611628908976504,12.40519306700151,0.0,True,multiple_factors,300
perceived_price,q29,0.8549,0.04066744694611742,20.79360901250326,0.0,True,multiple_factors,300
nutrition_knowledge,q30,0.8322,-,-,,False,multiple_factors,300
nutrition_knowledge,q31,0.5253,0.046517314361292035,10.013575400796794,0.0,True,multiple_factors,300
nutrition_knowledge,q32,0.7088,0.04453486012914121,15.291702172159184,0.0,True,multiple_factors,300
nutrition_knowledge,q33,-0.4567,0.049048966216766327,-8.43448984289998,0.0,True,multiple_factors,300
nutrition_knowledge,q34,0.7514,0.05099960858297208,16.87218177741814,0.0,True,multiple_factors,300
nutrition_knowledge,q35,0.7509,0.045216408857010386,16.852095971867758,0.0,True,multiple_factors,300
nutrition_knowledge,q36,0.667,0.053579906333185205,13.902506302684555,0.0,True,multiple_factors,300
nutrition_knowledge,q37,-0.1072,0.05145046461447499,-1.822581315481664,0.0684,False,multiple_factors,300
nutrition_knowledge,q38,0.7608,0.05317895748717826,17.248893517480695,0.0,True,multiple_factors,300
nutrition_knowledge,q39,0.7634,0.0494725669212128,17.354584629461446,0.0,True,multiple_factors,300
nutrition_knowledge,q40,-0.2831,0.049833153344922686,-4.94808637029571,0.0,True,multiple_factors,300
nutrition_knowledge,q41,0.2544,0.04700609985734481,4.418333075145218,0.0,True,multiple_factors,300
nutrition_knowledge,q42,0.7808,0.047069777937657604,18.08902938402884,0.0,True,multiple_factors,300
nutrition_knowledge,q43,0.7845,0.04476201762000907,18.250773126228626,0.0,True,multiple_factors,300
nutrition_knowledge,q44,0.8002,0.046100055370064376,18.95896190679623,0.0,True,multiple_factors,300
nutrition_knowledge,q45,0.8657,0.043001882134093096,22.41043512487778,0.0,True,multiple_factors,300
nutrition_knowledge,q46,0.743,0.04660041782750645,16.54433623461304,0.0,True,multiple_factors,300
nutrition_knowledge,q47,-0.7411,0.04713583120359062,-16.47239250906857,0.0,True,multiple_factors,300
nutrition_knowledge,q48,0.5795,0.04557938861910629,11.380285536847623,0.0,True,multiple_factors,300
nutrition_knowledge,q49,0.4952,0.056312278753215476,9.302349329314415,0.0,True,multiple_factors,300
