factor,item,loading,index
health_concern,q6,1.0,20
health_concern,q7,1.0356126802433214,21
health_concern,q8,0.8971771485247936,22
health_concern,q9,0.9673394726602111,23
health_concern,q10,0.8456705983199129,24
health_concern,q11,1.0553272667306022,25
perceived_benefit,q16,1.0,26
perceived_benefit,q17,1.2887362639132316,27
perceived_price,q27,1.0,28
perceived_price,q28,0.6915766162426892,29
perceived_price,q29,1.0195336623795241,30
nutrition_knowledge,q30,1.0,31
nutrition_knowledge,q31,0.6043825312145502,32
nutrition_knowledge,q32,0.9487648275452563,33
nutrition_knowledge,q33,-0.5714562642496662,34
nutrition_knowledge,q34,1.161272450249235,35
nutrition_knowledge,q35,1.05385297119136,36
nutrition_knowledge,q36,1.0348253637516918,37
nutrition_knowledge,q37,-0.12078853140181778,38
nutrition_knowledge,q38,1.2825810267187536,39
nutrition_knowledge,q39,1.1950759389041683,40
nutrition_knowledge,q40,-0.34434619944688266,41
nutrition_knowledge,q41,0.29133618062086936,42
nutrition_knowledge,q42,1.18921969384991,43
nutrition_knowledge,q43,1.1363595695093085,44
nutrition_knowledge,q44,1.1878951842283303,45
nutrition_knowledge,q45,1.3370521764245415,46
nutrition_knowledge,q46,1.0424753324764302,47
nutrition_knowledge,q47,-1.0732145200155074,48
nutrition_knowledge,q48,0.7045839992372755,49
nutrition_knowledge,q49,0.7393155578024548,50
purchase_intention,q18,1.0,51
purchase_intention,q19,1.017366498284518,52
