Factor,Item,Loading,Abs_Loading,Loading_Level,Acceptable
health_concern,q6,1.0,1.0,High (≥0.7),True
health_concern,q7,0.9086,0.9086,High (≥0.7),True
health_concern,q8,0.7197,0.7197,High (≥0.7),True
health_concern,q9,0.7827,0.7827,High (≥0.7),True
health_concern,q10,0.7105,0.7105,High (≥0.7),True
health_concern,q11,0.8602,0.8602,High (≥0.7),True
perceived_benefit,q16,1.0,1.0,High (≥0.7),True
perceived_benefit,q17,0.7827,0.7827,High (≥0.7),True
purchase_intention,q18,1.0,1.0,High (≥0.7),True
purchase_intention,q19,1.0381,1.0381,High (≥0.7),True
perceived_price,q27,1.0,1.0,High (≥0.7),True
perceived_price,q28,0.492,0.492,Low (<0.5),False
perceived_price,q29,0.7977,0.7977,High (≥0.7),True
nutrition_knowledge,q30,1.0,1.0,High (≥0.7),True
nutrition_knowledge,q31,0.4626,0.4626,Low (<0.5),False
nutrition_knowledge,q32,0.6762,0.6762,Medium (0.5-0.7),True
nutrition_knowledge,q33,-0.4108,0.4108,Low (<0.5),False
nutrition_knowledge,q34,0.8536,0.8536,High (≥0.7),True
nutrition_knowledge,q35,0.7559,0.7559,High (≥0.7),True
nutrition_knowledge,q36,0.7393,0.7393,High (≥0.7),True
nutrition_knowledge,q37,-0.0936,0.0936,Low (<0.5),False
nutrition_knowledge,q38,0.9107,0.9107,High (≥0.7),True
nutrition_knowledge,q39,0.8518,0.8518,High (≥0.7),True
nutrition_knowledge,q40,-0.2454,0.2454,Low (<0.5),False
nutrition_knowledge,q41,0.2054,0.2054,Low (<0.5),False
nutrition_knowledge,q42,0.8445,0.8445,High (≥0.7),True
nutrition_knowledge,q43,0.8101,0.8101,High (≥0.7),True
nutrition_knowledge,q44,0.8672,0.8672,High (≥0.7),True
nutrition_knowledge,q45,0.9572,0.9572,High (≥0.7),True
nutrition_knowledge,q46,0.7659,0.7659,High (≥0.7),True
nutrition_knowledge,q47,-0.7711,0.7711,High (≥0.7),True
nutrition_knowledge,q48,0.5153,0.5153,Medium (0.5-0.7),True
nutrition_knowledge,q49,0.5201,0.5201,Medium (0.5-0.7),True
