Factor,Items_Removed,Remaining_Items,Cronbach_Alpha,Composite_Reliability,AVE,Meets_All_Criteria,Score
nutrition_knowledge,q31,19,0.8022813545126072,0.9148937014057024,0.5277750968421051,True,19.748316717586803
nutrition_knowledge,q32,19,0.7911430807248655,0.909163238720766,0.5147860778947367,True,19.73836413244679
nutrition_knowledge,q33,19,0.8360585137766489,0.9276783827187906,0.5301867784210526,True,19.764641224972163
nutrition_knowledge,q34,19,0.7856469556249154,0.9034501544130629,0.5002229594736841,True,19.729773356503888
nutrition_knowledge,q35,19,0.7861866173907189,0.906694420491347,0.5086343410526315,True,19.7338384596449
nutrition_knowledge,q36,19,0.7932878532418073,0.9072303526368143,0.5099905510526316,True,19.736836252310418
nutrition_knowledge,q37,19,0.8224301313005561,0.9247851881209965,0.5387314757894736,True,19.76198226507034
nutrition_knowledge,q39,19,0.7878653080404657,0.903515304478938,0.5003948694736841,True,19.73059182733103
nutrition_knowledge,q40,19,0.8289716027729831,0.9263904493781895,0.5359939431578947,True,19.76378533176969
nutrition_knowledge,q41,19,0.8090368416501166,0.9202943575603932,0.5369240626315789,True,19.755418420614028
nutrition_knowledge,q42,19,0.7847115457056042,0.9037612610227268,0.501042869473684,True,19.729838558734006
nutrition_knowledge,q43,19,0.7853279366246643,0.904919539251913,0.5040721510526315,True,19.73143987564307
nutrition_knowledge,q46,19,0.7922831908439714,0.9064091456616644,0.5079081831578947,True,19.73553350655451
nutrition_knowledge,q47,19,0.8504754272792792,0.9289721192764675,0.5074683957894737,True,19.762305314115075
nutrition_knowledge,q48,19,0.8007203315470907,0.9135930495380817,0.5250340415789473,True,19.74644914088804
nutrition_knowledge,q49,19,0.8043872722872726,0.9134640149526092,0.5247542126315788,True,19.74753516662382
