from,to,coefficient,index
health_concern,perceived_benefit,-0.172239319028265,0
perceived_price,perceived_benefit,0.04559315832538795,1
nutrition_knowledge,perceived_benefit,-0.6608751627202539,2
purchase_intention,perceived_benefit,0.36005439914115855,3
health_concern,perceived_price,0.12728678754740586,4
perceived_benefit,perceived_price,0.013885866197559575,5
nutrition_knowledge,perceived_price,-0.04731580435683297,6
purchase_intention,perceived_price,0.012872405976709987,7
health_concern,nutrition_knowledge,-0.49326981753239857,8
perceived_benefit,nutrition_knowledge,1.2614718313505122,9
perceived_price,nutrition_knowledge,0.021905491795313623,10
purchase_intention,nutrition_knowledge,-0.2988808727264322,11
health_concern,purchase_intention,0.1262012233345297,12
perceived_benefit,purchase_intention,0.4380555908647681,13
perceived_price,purchase_intention,-0.013983141790453638,14
nutrition_knowledge,purchase_intention,0.04623475909029434,15
perceived_benefit,health_concern,0.016575461579807774,16
perceived_price,health_concern,0.008936577896385854,17
nutrition_knowledge,health_concern,0.5115779410252858,18
purchase_intention,health_concern,0.0992870134714652,19
