combination,independent,dependent,moderator,interaction_coefficient,p_value,significant,n_observations,cfi,rmsea,analysis_time,status
perceived_benefit_x_purchase_intention_to_health_concern,perceived_benefit,health_concern,purchase_intention,-9.905468110734784e-05,0.28143972097855396,False,300,1.0014333674339941,0.0,0.03364872932434082,success
perceived_benefit_x_perceived_price_to_health_concern,perceived_benefit,health_concern,perceived_price,-8.014514027467204e-05,0.3627453770892175,False,300,1.001543551215767,0.0,0.022352218627929688,success
perceived_benefit_x_nutrition_knowledge_to_health_concern,perceived_benefit,health_concern,nutrition_knowledge,-0.0007486139452053706,0.15392034053253334,False,300,1.0018141020949238,0.0,0.01688075065612793,success
purchase_intention_x_perceived_benefit_to_health_concern,purchase_intention,health_concern,perceived_benefit,-9.883926046161992e-05,0.28253182178470526,False,300,1.0014333654347702,0.0,0.03121018409729004,success
purchase_intention_x_perceived_price_to_health_concern,purchase_intention,health_concern,perceived_price,-4.59742475539265e-05,0.34448510104225916,False,300,1.0014889459564165,0.0,0.019403934478759766,success
purchase_intention_x_nutrition_knowledge_to_health_concern,purchase_intention,health_concern,nutrition_knowledge,-0.00033314276611510867,0.21339243396096785,False,300,1.0017639235911808,0.0,0.016086816787719727,success
perceived_price_x_perceived_benefit_to_health_concern,perceived_price,health_concern,perceived_benefit,-8.034783865379301e-05,0.3615777578439334,False,300,1.0015435460162538,0.0,0.03154587745666504,success
perceived_price_x_purchase_intention_to_health_concern,perceived_price,health_concern,purchase_intention,-4.206234665331168e-05,0.6317804900478345,False,300,0.9650363850846206,0.28024102488152425,0.01838850975036621,success
perceived_price_x_nutrition_knowledge_to_health_concern,perceived_price,health_concern,nutrition_knowledge,-0.00020312355946046609,0.4548667590472131,False,300,1.0017595805762327,0.0,0.028369665145874023,success
nutrition_knowledge_x_perceived_benefit_to_health_concern,nutrition_knowledge,health_concern,perceived_benefit,-0.0007482757735721039,0.15392797106125444,False,300,1.0018141067374506,0.0,0.02091693878173828,success
nutrition_knowledge_x_purchase_intention_to_health_concern,nutrition_knowledge,health_concern,purchase_intention,-0.0003324638223556154,0.21436376128391488,False,300,1.0017639268693546,0.0,0.01740431785583496,success
nutrition_knowledge_x_perceived_price_to_health_concern,nutrition_knowledge,health_concern,perceived_price,-0.0002030270344993439,0.45505865306467275,False,300,1.0017595797612728,0.0,0.03355741500854492,success
health_concern_x_purchase_intention_to_perceived_benefit,health_concern,perceived_benefit,purchase_intention,3.6341728218672405e-05,0.6125694372013741,False,300,0.9887807469053503,0.16179265481889188,0.01689743995666504,success
health_concern_x_perceived_price_to_perceived_benefit,health_concern,perceived_benefit,perceived_price,0.00010193402408130034,0.230647493487796,False,300,1.001543621515299,0.0,0.03265857696533203,success
health_concern_x_nutrition_knowledge_to_perceived_benefit,health_concern,perceived_benefit,nutrition_knowledge,0.0005505220409084744,0.30699277238023437,False,300,1.0018142592268078,0.0,0.017410755157470703,success
purchase_intention_x_health_concern_to_perceived_benefit,purchase_intention,perceived_benefit,health_concern,3.495628569115487e-05,0.49820780395406183,False,300,1.0014334190837684,0.0,0.031620025634765625,success
purchase_intention_x_perceived_price_to_perceived_benefit,purchase_intention,perceived_benefit,perceived_price,2.0044555924029175e-05,0.49753477806687996,False,300,1.0013861700708329,0.0,0.017855167388916016,success
purchase_intention_x_nutrition_knowledge_to_perceived_benefit,purchase_intention,perceived_benefit,nutrition_knowledge,0.0001043278256139994,0.4938251946009964,False,300,1.0016045272645566,0.0,0.027998924255371094,success
perceived_price_x_health_concern_to_perceived_benefit,perceived_price,perceived_benefit,health_concern,0.00010216246870991046,0.2296071023699442,False,300,1.001543622336834,0.0,0.02091526985168457,success
perceived_price_x_purchase_intention_to_perceived_benefit,perceived_price,perceived_benefit,purchase_intention,2.0044588749869386e-05,0.49753402747335285,False,300,1.001386170069828,0.0,0.030448436737060547,success
perceived_price_x_nutrition_knowledge_to_perceived_benefit,perceived_price,perceived_benefit,nutrition_knowledge,0.00021545369358066873,0.41499704835876594,False,300,1.0017509880656768,0.0,0.02094888687133789,success
nutrition_knowledge_x_health_concern_to_perceived_benefit,nutrition_knowledge,perceived_benefit,health_concern,0.0005515930288674607,0.3060577028124196,False,300,1.0018142586446754,0.0,0.01720142364501953,success
nutrition_knowledge_x_purchase_intention_to_perceived_benefit,nutrition_knowledge,perceived_benefit,purchase_intention,0.0001223327660261353,0.6188135539869415,False,300,0.9742789299311828,0.23154466020105519,0.029684782028198242,success
nutrition_knowledge_x_perceived_price_to_perceived_benefit,nutrition_knowledge,perceived_benefit,perceived_price,0.0002154609544329458,0.4149898261075975,False,300,1.001750988345443,0.0,0.020140647888183594,success
health_concern_x_perceived_benefit_to_purchase_intention,health_concern,purchase_intention,perceived_benefit,-1.0669250225941539e-05,0.9379989608923491,False,300,1.0014334434385959,0.0,0.01741504669189453,success
health_concern_x_perceived_price_to_purchase_intention,health_concern,purchase_intention,perceived_price,0.00010701099489978492,0.36268354695175353,False,300,1.0014891178140575,0.0,0.021925687789916992,success
health_concern_x_nutrition_knowledge_to_purchase_intention,health_concern,purchase_intention,nutrition_knowledge,0.0005883146505104956,0.4661489358180413,False,300,1.0017640851031373,0.0,0.018316984176635742,success
perceived_benefit_x_health_concern_to_purchase_intention,perceived_benefit,purchase_intention,health_concern,-1.0786315460421192e-05,0.93731814816931,False,300,1.0014334432881313,0.0,0.032842159271240234,success
perceived_benefit_x_perceived_price_to_purchase_intention,perceived_benefit,purchase_intention,perceived_price,-1.5567165423450466e-05,0.8332627245336612,False,300,1.0013861668591242,0.0,0.01726675033569336,success
perceived_benefit_x_nutrition_knowledge_to_purchase_intention,perceived_benefit,purchase_intention,nutrition_knowledge,-0.00037787969120356185,0.39838655022147806,False,300,1.0016044584923085,0.0,0.03028249740600586,success
perceived_price_x_health_concern_to_purchase_intention,perceived_price,purchase_intention,health_concern,0.00010668519423577061,0.3642854326583427,False,300,1.0014890997232209,0.0,0.017933368682861328,success
perceived_price_x_perceived_benefit_to_purchase_intention,perceived_price,purchase_intention,perceived_benefit,-1.5674087138052144e-05,0.8321754237979448,False,300,1.001386157492298,0.0,0.017261981964111328,success
perceived_price_x_nutrition_knowledge_to_purchase_intention,perceived_price,purchase_intention,nutrition_knowledge,0.00016264115372908753,0.6653263585355318,False,300,1.0016893290568223,0.0,0.03262639045715332,success
nutrition_knowledge_x_health_concern_to_purchase_intention,nutrition_knowledge,purchase_intention,health_concern,0.0005869307872406396,0.4671237122214116,False,300,1.0017641022288364,0.0,0.017177104949951172,success
nutrition_knowledge_x_perceived_benefit_to_purchase_intention,nutrition_knowledge,purchase_intention,perceived_benefit,-0.0003778748091623635,0.3984729585544198,False,300,1.001604469389803,0.0,0.027848243713378906,success
nutrition_knowledge_x_perceived_price_to_purchase_intention,nutrition_knowledge,purchase_intention,perceived_price,0.00016308568965838854,0.664561917578713,False,300,1.0016893176092367,0.0,0.021178245544433594,success
health_concern_x_perceived_benefit_to_perceived_price,health_concern,perceived_price,perceived_benefit,-3.79506475426736e-05,0.8658463795029416,False,300,1.0015436124522736,0.0,0.028745412826538086,success
health_concern_x_purchase_intention_to_perceived_price,health_concern,perceived_price,purchase_intention,-2.3111891221749943e-05,0.8431840214690434,False,300,1.001489013713118,0.0,0.022216081619262695,success
health_concern_x_nutrition_knowledge_to_perceived_price,health_concern,perceived_price,nutrition_knowledge,0.00019164990802314176,0.8088273849118073,False,300,1.0017596472188126,0.0,0.025011777877807617,success
perceived_benefit_x_health_concern_to_perceived_price,perceived_benefit,perceived_price,health_concern,-3.7843159030209625e-05,0.8662111072885779,False,300,1.0015436166035152,0.0,0.0216825008392334,success
perceived_benefit_x_purchase_intention_to_perceived_price,perceived_benefit,perceived_price,purchase_intention,-7.376456074072826e-05,0.5597686890362041,False,300,1.001386153848758,0.0,0.017464160919189453,success
perceived_benefit_x_nutrition_knowledge_to_perceived_price,perceived_benefit,perceived_price,nutrition_knowledge,-0.0007943714804892775,0.2897806173138884,False,300,1.0017509568900562,0.0,0.02348613739013672,success
purchase_intention_x_health_concern_to_perceived_price,purchase_intention,perceived_price,health_concern,-2.3119601697274674e-05,0.8431331335094767,False,300,1.0014890132133973,0.0,0.02480792999267578,success
purchase_intention_x_perceived_benefit_to_perceived_price,purchase_intention,perceived_price,perceived_benefit,-7.444134916480147e-05,0.556204076358537,False,300,1.001386155803262,0.0,0.02635025978088379,success
purchase_intention_x_nutrition_knowledge_to_perceived_price,purchase_intention,perceived_price,nutrition_knowledge,-0.00028564878867772133,0.43203570736212593,False,300,1.0016892259316985,0.0,0.022032976150512695,success
nutrition_knowledge_x_health_concern_to_perceived_price,nutrition_knowledge,perceived_price,health_concern,0.00019165005359559313,0.8088272548894311,False,300,1.0017596472182504,0.0,0.024402141571044922,success
nutrition_knowledge_x_perceived_benefit_to_perceived_price,nutrition_knowledge,perceived_price,perceived_benefit,-0.0007939247596509887,0.2900288145242089,False,300,1.0017509539358622,0.0,0.018275737762451172,success
nutrition_knowledge_x_purchase_intention_to_perceived_price,nutrition_knowledge,perceived_price,purchase_intention,-0.00028572886405347006,0.4318040259480329,False,300,1.0016892633385408,0.0,0.021419286727905273,success
health_concern_x_perceived_benefit_to_nutrition_knowledge,health_concern,nutrition_knowledge,perceived_benefit,8.23860871617611e-05,0.46511365215737066,False,300,1.0018144547407972,0.0,0.021924495697021484,success
health_concern_x_purchase_intention_to_nutrition_knowledge,health_concern,nutrition_knowledge,purchase_intention,4.5861716050809e-05,0.4704408567415901,False,300,1.00176427855937,0.0,0.028577327728271484,success
health_concern_x_perceived_price_to_nutrition_knowledge,health_concern,nutrition_knowledge,perceived_price,5.432750130243766e-05,0.38673832589420787,False,300,1.0017599881707686,0.0,0.02145838737487793,success
perceived_benefit_x_health_concern_to_nutrition_knowledge,perceived_benefit,nutrition_knowledge,health_concern,8.241064324330091e-05,0.46478211953212445,False,300,1.0018144951394226,0.0,0.017173051834106445,success
perceived_benefit_x_purchase_intention_to_nutrition_knowledge,perceived_benefit,nutrition_knowledge,purchase_intention,3.305529374161499e-05,0.6080402978746573,False,300,1.0016046963256813,0.0,0.01629495620727539,success
perceived_benefit_x_perceived_price_to_nutrition_knowledge,perceived_benefit,nutrition_knowledge,perceived_price,4.2900746720619216e-05,0.4970917303552693,False,300,1.0017511874188565,0.0,0.03211569786071777,success
purchase_intention_x_health_concern_to_nutrition_knowledge,purchase_intention,nutrition_knowledge,health_concern,4.58744199454524e-05,0.47032823750132025,False,300,1.0017642601997905,0.0,0.017652034759521484,success
purchase_intention_x_perceived_benefit_to_nutrition_knowledge,purchase_intention,nutrition_knowledge,perceived_benefit,3.312373089109324e-05,0.6072999433242643,False,300,1.0016046994899594,0.0,0.017249584197998047,success
purchase_intention_x_perceived_price_to_nutrition_knowledge,purchase_intention,nutrition_knowledge,perceived_price,2.4189117067711263e-05,0.5004861995748615,False,300,1.0016894835902996,0.0,0.028716564178466797,success
perceived_price_x_health_concern_to_nutrition_knowledge,perceived_price,nutrition_knowledge,health_concern,5.423972308853679e-05,0.3875076196696732,False,300,1.0017599900302068,0.0,0.01987910270690918,success
perceived_price_x_perceived_benefit_to_nutrition_knowledge,perceived_price,nutrition_knowledge,perceived_benefit,4.2953115577649766e-05,0.49660386814493984,False,300,1.0017511852476357,0.0,0.017154216766357422,success
perceived_price_x_purchase_intention_to_nutrition_knowledge,perceived_price,nutrition_knowledge,purchase_intention,2.6267815107291834e-05,0.8810544200694217,False,300,0.8143310720742716,0.6062556190011311,0.016499042510986328,success
