Factor1,Factor2,Correlation,AVE_Sqrt_Factor1,AVE_Sqrt_Factor2,Min_AVE_Sqrt,Is_Valid,Difference
health_concern,perceived_benefit,0.2939344900192868,0.8464081846248889,0.779907342787163,0.779907342787163,True,0.4859728527678762
health_concern,purchase_intention,0.3014924768755095,0.8464081846248889,1.025527969714462,0.8464081846248889,True,0.5449157077493794
health_concern,perceived_price,0.1614058087181736,0.8464081846248889,0.8153644011524336,0.8153644011524336,True,0.65395859243426
health_concern,nutrition_knowledge,0.060699373871793,0.8464081846248889,0.7157058222482194,0.7157058222482194,True,0.6550064483764264
perceived_benefit,purchase_intention,0.8918752117588932,0.779907342787163,1.025527969714462,0.779907342787163,False,-0.11196786897173017
perceived_benefit,perceived_price,0.1641691090909125,0.779907342787163,0.8153644011524336,0.779907342787163,True,0.6157382336962505
perceived_benefit,nutrition_knowledge,0.0116370733965084,0.779907342787163,0.7157058222482194,0.7157058222482194,True,0.704068748851711
purchase_intention,perceived_price,0.0570586909607497,1.025527969714462,0.8153644011524336,0.8153644011524336,True,0.7583057101916839
purchase_intention,nutrition_knowledge,0.0217073662095995,1.025527969714462,0.7157058222482194,0.7157058222482194,True,0.69399845603862
perceived_price,nutrition_knowledge,0.0067151565470639,0.8153644011524336,0.7157058222482194,0.7157058222482194,True,0.7089906657011555
