Coefficient,Estimate,Std. Err.,P. Value
ζ_health_concern_q7,1.821545,N/A,N/A
ζ_health_concern_q8,1.817093,N/A,N/A
ζ_health_concern_q9,2.004141,N/A,N/A
ζ_health_concern_q10,2.042785,N/A,N/A
ζ_health_concern_q11,1.79169,N/A,N/A
σ²_health_concern_q6,0.242753,N/A,N/A
σ²_health_concern_q7,0.307487,N/A,N/A
σ²_health_concern_q8,0.318766,N/A,N/A
σ²_health_concern_q9,0.374413,N/A,N/A
σ²_health_concern_q10,0.497122,N/A,N/A
σ²_health_concern_q11,0.280641,N/A,N/A
ζ_perceived_benefit_q13,0.912519,N/A,N/A
ζ_perceived_benefit_q14,1.028369,N/A,N/A
ζ_perceived_benefit_q15,1.180854,N/A,N/A
ζ_perceived_benefit_q16,1.089028,N/A,N/A
ζ_perceived_benefit_q17,0.936935,N/A,N/A
σ²_perceived_benefit_q12,0.400324,N/A,N/A
σ²_perceived_benefit_q13,0.347557,N/A,N/A
σ²_perceived_benefit_q14,0.343263,N/A,N/A
σ²_perceived_benefit_q15,0.391935,N/A,N/A
σ²_perceived_benefit_q16,0.384655,N/A,N/A
σ²_perceived_benefit_q17,0.338511,N/A,N/A
ζ_perceived_price_q28,1.626653,N/A,N/A
ζ_perceived_price_q29,1.744699,N/A,N/A
σ²_perceived_price_q27,0.625037,N/A,N/A
σ²_perceived_price_q28,0.627247,N/A,N/A
σ²_perceived_price_q29,0.614678,N/A,N/A
ζ_nutrition_knowledge_q31,1.127794,N/A,N/A
ζ_nutrition_knowledge_q32,1.260891,N/A,N/A
ζ_nutrition_knowledge_q33,1.087865,N/A,N/A
ζ_nutrition_knowledge_q34,1.24954,N/A,N/A
ζ_nutrition_knowledge_q35,1.303558,N/A,N/A
ζ_nutrition_knowledge_q36,1.305639,N/A,N/A
ζ_nutrition_knowledge_q37,1.106603,N/A,N/A
ζ_nutrition_knowledge_q38,1.183989,N/A,N/A
ζ_nutrition_knowledge_q39,1.255195,N/A,N/A
ζ_nutrition_knowledge_q40,1.028991,N/A,N/A
ζ_nutrition_knowledge_q41,1.262609,N/A,N/A
ζ_nutrition_knowledge_q42,1.261023,N/A,N/A
ζ_nutrition_knowledge_q43,1.274052,N/A,N/A
ζ_nutrition_knowledge_q44,1.28539,N/A,N/A
ζ_nutrition_knowledge_q45,1.275248,N/A,N/A
ζ_nutrition_knowledge_q46,1.191841,N/A,N/A
ζ_nutrition_knowledge_q47,0.859048,N/A,N/A
ζ_nutrition_knowledge_q48,1.160671,N/A,N/A
ζ_nutrition_knowledge_q49,1.045778,N/A,N/A
σ²_nutrition_knowledge_q30,0.251034,N/A,N/A
σ²_nutrition_knowledge_q31,0.176283,N/A,N/A
σ²_nutrition_knowledge_q32,0.207327,N/A,N/A
σ²_nutrition_knowledge_q33,0.19267,N/A,N/A
σ²_nutrition_knowledge_q34,0.292034,N/A,N/A
σ²_nutrition_knowledge_q35,0.240615,N/A,N/A
σ²_nutrition_knowledge_q36,0.274186,N/A,N/A
σ²_nutrition_knowledge_q37,0.194213,N/A,N/A
σ²_nutrition_knowledge_q38,0.268437,N/A,N/A
σ²_nutrition_knowledge_q39,0.238901,N/A,N/A
σ²_nutrition_knowledge_q40,0.202389,N/A,N/A
σ²_nutrition_knowledge_q41,0.276854,N/A,N/A
σ²_nutrition_knowledge_q42,0.326,N/A,N/A
σ²_nutrition_knowledge_q43,0.331827,N/A,N/A
σ²_nutrition_knowledge_q44,0.230682,N/A,N/A
σ²_nutrition_knowledge_q45,0.283563,N/A,N/A
σ²_nutrition_knowledge_q46,0.207114,N/A,N/A
σ²_nutrition_knowledge_q47,0.187191,N/A,N/A
σ²_nutrition_knowledge_q48,0.184124,N/A,N/A
σ²_nutrition_knowledge_q49,0.191217,N/A,N/A
ζ_purchase_intention_q19,1.033757,N/A,N/A
ζ_purchase_intention_q20,1.056102,N/A,N/A
σ²_purchase_intention_q18,1.3463,N/A,N/A
σ²_purchase_intention_q19,1.305794,N/A,N/A
σ²_purchase_intention_q20,1.290706,N/A,N/A
γ_health_concern_to_perceived_benefit,0.510461,N/A,N/A
γ_perceived_benefit_to_purchase_intention,0.498259,N/A,N/A
β_intercept,-0.020155,N/A,N/A
β_sugar_free,0.232747,N/A,N/A
β_health_label,0.226071,N/A,N/A
β_price,-0.260845,N/A,N/A
λ_main,0.445158,N/A,N/A
λ_mod_perceived_price,-1.496759,N/A,N/A
λ_mod_nutrition_knowledge,1.051328,N/A,N/A
,,,
Estimation statistics,,,
Iterations,25,LL (start),N/A
AIC,N/A,"LL (final, whole model)",-85484.98
BIC,N/A,LL (Choice),N/A
