method,tolerance,log_likelihood,aic,converged
bfgs,0.0001,-2201.5227063677876,4413.045412735575,True
bfgs,1e-06,-2201.5227063677876,4413.045412735575,True
bfgs,1e-08,-2201.5227063677876,4413.045412735575,True
newton,0.0001,-2201.522703316346,4413.045406632692,True
newton,1e-06,-2201.522703316346,4413.045406632692,True
newton,1e-08,-2201.522703316346,4413.045406632692,True
lbfgs,0.0001,-2201.522703834852,4413.045407669704,True
lbfgs,1e-06,-2201.522703834852,4413.045407669704,True
lbfgs,1e-08,-2201.522703834852,4413.045407669704,True
